,loss,accuracy,iou_score
70,0.06713996082544327,0.9962859749794006,0.8744996190071106
71,0.08659397810697556,0.9957283735275269,0.8420131206512451
72,0.07353011518716812,0.9960659146308899,0.8633822798728943
73,0.07411335408687592,0.9959920048713684,0.8626285195350647
74,0.06403683871030807,0.9963314533233643,0.8798864483833313
75,0.08136138319969177,0.9958203434944153,0.8504347205162048
76,0.0721079409122467,0.9961463809013367,0.8657607436180115
77,0.07133392989635468,0.9961525201797485,0.8670680522918701
78,0.06530269235372543,0.9963217973709106,0.8776199817657471
79,0.06276466697454453,0.9963679909706116,0.8820590972900391
80,0.06265797466039658,0.9963255524635315,0.8823184370994568
81,0.06345436722040176,0.9963493943214417,0.8808882236480713
82,0.0649796649813652,0.9963009357452393,0.8781773447990417
83,0.06227383390069008,0.9963405728340149,0.8829631209373474
84,0.05924215540289879,0.9964407682418823,0.8883143067359924
85,0.058386966586112976,0.9964572787284851,0.889842689037323
86,0.05730855464935303,0.996468186378479,0.8917776942253113
87,0.056071508675813675,0.9964908957481384,0.8939998745918274
88,0.05533112213015556,0.9965029358863831,0.8953303694725037
89,0.059178635478019714,0.9964484572410583,0.8885149955749512
90,0.0568973533809185,0.9964911937713623,0.8925796151161194
91,0.05702123045921326,0.9964901804924011,0.8923456072807312
92,0.05553192272782326,0.9965050220489502,0.8949799537658691
93,0.056031059473752975,0.9965099692344666,0.8940654397010803
94,0.055648669600486755,0.9965090751647949,0.8947723507881165
95,0.0552835613489151,0.9965246319770813,0.8954352736473083
96,0.0539412647485733,0.9965268969535828,0.8978086113929749
97,0.053538043051958084,0.9965378046035767,0.8985515236854553
98,0.053056251257658005,0.9965453743934631,0.8994442820549011
99,0.053421780467033386,0.9965426921844482,0.8987769484519958
